channel,rank,logo,watch_time_m,stream_time_m,peak_viewers,avg_viewers,followers,partnered,mature,language,url,t_subs,start,income,stream_time_h/m
Sintica,3,https://static-cdn.jtvnw.net/jtv_user_pictures/f88e8af1-366a-4d0b-9746-c597d647757d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,64833390,19185,9591,3379,269063,TRUE,TRUE,German,https://www.twitch.tv/Sintica/about,9852,"Sep 1, 2012",24630,106.58
kubomusic,4,https://static-cdn.jtvnw.net/jtv_user_pictures/8b913a55-0da4-445a-8984-a76fe5613e46-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,60550890,128070,1959,473,22850,FALSE,FALSE,English,https://www.twitch.tv/kubomusic/about,5,"Dec 16, 2020",12.5,711.50
yejuniverse,7,https://static-cdn.jtvnw.net/jtv_user_pictures/25e26f54-20ba-4b67-ba6d-e3486a95338b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,28802820,16575,11806,1738,36243,TRUE,FALSE,English,https://www.twitch.tv/yejuniverse/about,1039,"Oct 26, 2020",2597.5,92.08
Colaway,9,https://static-cdn.jtvnw.net/jtv_user_pictures/a523eaae-294d-4965-aedf-d52122a8c436-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,25479900,32730,1498,778,39720,TRUE,TRUE,German,https://www.twitch.tv/Colaway/about,1650,"Dec 27, 2017",4125,181.83
Monstercat,10,https://static-cdn.jtvnw.net/jtv_user_pictures/monstercat-profile_image-3e109d75f8413319-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,23542830,127905,422,184,823245,TRUE,FALSE,English,https://www.twitch.tv/Monstercat/about,40,"Jan 14, 2012",100,710.58
BatalhaDaAldeia,11,https://static-cdn.jtvnw.net/jtv_user_pictures/dac09019-8639-489a-9f4f-5225661aaa56-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,23148870,13950,68536,1659,379614,TRUE,FALSE,Portuguese,https://www.twitch.tv/BatalhaDaAldeia/about,32,"Sep 24, 2018",80,77.50
RelaxBeats,12,https://static-cdn.jtvnw.net/jtv_user_pictures/relaxbeats-profile_image-76acee755ecb616f-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,23050215,127245,280,181,234241,TRUE,FALSE,English,https://www.twitch.tv/RelaxBeats/about,4,"Apr 18, 2017",10,706.92
JokerTheAnarchist,13,https://static-cdn.jtvnw.net/jtv_user_pictures/9a579259-c852-435e-b9dc-634471de64bd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,22803615,11940,13023,1910,15165,TRUE,FALSE,English,https://www.twitch.tv/JokerTheAnarchist/about,215,"Jun 18, 2017",537.5,66.33
mcd00dle,14,https://static-cdn.jtvnw.net/jtv_user_pictures/be86f81b-5547-4c3c-be32-2e8384fad9eb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,22468665,14895,9628,1508,36575,TRUE,FALSE,English,https://www.twitch.tv/mcd00dle/about,281,"Feb 20, 2019",702.5,82.75
RollingLoud,15,https://static-cdn.jtvnw.net/jtv_user_pictures/ee98ee9d-6599-4e60-bc53-be79f4e2a179-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,21399015,1905,31169,11233,238332,TRUE,FALSE,English,https://www.twitch.tv/RollingLoud/about,800,"Jul 24, 2018",2000,10.58
Jessu,16,https://static-cdn.jtvnw.net/jtv_user_pictures/04cfc67f-4535-4088-ab39-a25d8f88fbfa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,18664020,9255,4941,2017,137171,TRUE,FALSE,English,https://www.twitch.tv/Jessu/about,1044,"Jan 11, 2019",2610,51.42
HermanLi,19,https://static-cdn.jtvnw.net/jtv_user_pictures/29429ba5-354f-458f-a824-61704832f50e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,16231215,9750,8721,1665,233058,TRUE,FALSE,English,https://www.twitch.tv/HermanLi/about,436,"Jul 15, 2017",1090,54.17
antianrose,21,https://static-cdn.jtvnw.net/jtv_user_pictures/fdca545b-dc12-415c-9c13-8b4fe9a2a688-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,14291550,8445,3839,1692,15977,TRUE,FALSE,Spanish,https://www.twitch.tv/antianrose/about,59,"Apr 2, 2019",147.5,46.92
musiciscode,22,https://static-cdn.jtvnw.net/jtv_user_pictures/1b69d9c2-1a50-4f27-8e3c-6ac1b6f320a0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,13956075,10845,8808,1287,14389,FALSE,FALSE,English,https://www.twitch.tv/musiciscode/about,434,"Oct 18, 2017",1085,60.25
pykamusic,23,https://static-cdn.jtvnw.net/jtv_user_pictures/9e732e5c-e6b1-4aed-9e15-79767732e88e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,12556545,8475,3620,1482,82602,TRUE,FALSE,English,https://www.twitch.tv/pykamusic/about,67,"May 18, 2019",167.5,47.08
DJMissShelton,24,https://static-cdn.jtvnw.net/jtv_user_pictures/243170f8-91e2-46cc-9582-85308ac78645-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,12392430,17850,3159,694,54682,TRUE,FALSE,English,https://www.twitch.tv/DJMissShelton/about,2980,"Mar 26, 2020",7450,99.17
VenusWorld,25,https://static-cdn.jtvnw.net/jtv_user_pictures/d2365c94-7ff1-4c8b-a965-7cfb146f362b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,12134475,6270,13617,1935,58606,TRUE,FALSE,English,https://www.twitch.tv/VenusWorld/about,2200,"Mar 28, 2018",5500,34.83
TPAIN,26,https://static-cdn.jtvnw.net/jtv_user_pictures/fdd726f0-5e06-4211-ab5c-abf1faedece9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,12028830,7095,8358,1695,811287,TRUE,TRUE,English,https://www.twitch.tv/TPAIN/about,1050,"Feb 26, 2016",2625,39.42
hakumai,28,https://static-cdn.jtvnw.net/jtv_user_pictures/ed14b18d-bc3b-4c99-ad04-bafa0c917dfc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,11746830,5940,8081,1978,134457,TRUE,FALSE,English,https://www.twitch.tv/hakumai/about,2600,"Jan 13, 2016",6500,33.00
ortoPilot,29,https://static-cdn.jtvnw.net/jtv_user_pictures/39869f00-c126-4137-9d3b-aabede6bdfc3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,11652285,9660,4878,1206,297284,TRUE,FALSE,English,https://www.twitch.tv/ortoPilot/about,4400,"Oct 21, 2009",11000,53.67
astravert,30,https://static-cdn.jtvnw.net/jtv_user_pictures/3093ec06-c10d-47a5-9c0b-7eb039337730-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,11404530,13215,9122,863,13021,FALSE,FALSE,English,https://www.twitch.tv/astravert/about,617,"Nov 4, 2016",1542.5,73.42
ChillhopMusic,31,https://static-cdn.jtvnw.net/jtv_user_pictures/53e95270-a955-4505-a720-600886d693d6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,11322540,127635,518,89,86650,TRUE,FALSE,English,https://www.twitch.tv/ChillhopMusic/about,175,"Jan 19, 2016",437.5,709.08
HotBeatsTV,36,https://static-cdn.jtvnw.net/jtv_user_pictures/8d369282-ba4e-4f60-b9d3-fbcab2cd83ea-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,10297005,127455,200,81,56315,FALSE,FALSE,English,https://www.twitch.tv/HotBeatsTV/about,65,"Oct 21, 2018",162.5,708.08
Ailenax,38,https://static-cdn.jtvnw.net/jtv_user_pictures/9e6b33e6-ab61-4199-958c-06f17cf2857c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,10106460,12135,1968,833,31677,TRUE,TRUE,German,https://www.twitch.tv/Ailenax/about,1216,"Aug 21, 2013",3040,67.42
CaptainJen_E,39,https://static-cdn.jtvnw.net/jtv_user_pictures/6acf6ab5-0740-4eea-bf43-572aa8124106-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,10030155,9675,7947,1037,19955,TRUE,FALSE,English,https://www.twitch.tv/CaptainJen_E/about,270,"Jun 30, 2018",675,53.75
