channel,rank,logo,watch_time_m,stream_time_m,peak_viewers,avg_viewers,followers,partnered,mature,language,url,t_subs
LeekBeats,1,https://static-cdn.jtvnw.net/jtv_user_pictures/48368469-c672-4e43-a822-41507803c92b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,107376360,122550,2985,876,25648,FALSE,FALSE,English,https://www.twitch.tv/LeekBeats/about,
AmazonMusic,2,https://static-cdn.jtvnw.net/jtv_user_pictures/2af1608a-b130-469f-8f61-9749cf62f925-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,89461860,3660,238098,24443,382863,TRUE,FALSE,English,https://www.twitch.tv/AmazonMusic/about,
Sintica,3,https://static-cdn.jtvnw.net/jtv_user_pictures/f88e8af1-366a-4d0b-9746-c597d647757d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,64833390,19185,9591,3379,269063,TRUE,TRUE,German,https://www.twitch.tv/Sintica/about,
kubomusic,4,https://static-cdn.jtvnw.net/jtv_user_pictures/8b913a55-0da4-445a-8984-a76fe5613e46-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,60550890,128070,1959,473,22850,FALSE,FALSE,English,https://www.twitch.tv/kubomusic/about,
thegabeconcept,5,https://static-cdn.jtvnw.net/jtv_user_pictures/2294bc8e-0ff1-47a1-bde0-69e62ad58c31-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,35970525,56100,3879,641,5703,FALSE,FALSE,English,https://www.twitch.tv/thegabeconcept/about,
Vanessa_Lopez_Official,6,https://static-cdn.jtvnw.net/jtv_user_pictures/c2c00acd-2df5-4b2e-888f-144e39414c5f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,35868120,57000,1798,629,39716,TRUE,FALSE,German,https://www.twitch.tv/Vanessa_Lopez_Official/about,
yejuniverse,7,https://static-cdn.jtvnw.net/jtv_user_pictures/25e26f54-20ba-4b67-ba6d-e3486a95338b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,28802820,16575,11806,1738,36243,TRUE,FALSE,English,https://www.twitch.tv/yejuniverse/about,
Anastasia_Rose_Official,8,https://static-cdn.jtvnw.net/jtv_user_pictures/d8c002f2-c498-4e7a-a66d-5b5ea691ca95-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,27313575,15195,4888,1798,119145,TRUE,TRUE,German,https://www.twitch.tv/Anastasia_Rose_Official/about,
Colaway,9,https://static-cdn.jtvnw.net/jtv_user_pictures/a523eaae-294d-4965-aedf-d52122a8c436-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,25479900,32730,1498,778,39720,TRUE,TRUE,German,https://www.twitch.tv/Colaway/about,
Monstercat,10,https://static-cdn.jtvnw.net/jtv_user_pictures/monstercat-profile_image-3e109d75f8413319-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,23542830,127905,422,184,823245,TRUE,FALSE,English,https://www.twitch.tv/Monstercat/about,
BatalhaDaAldeia,11,https://static-cdn.jtvnw.net/jtv_user_pictures/dac09019-8639-489a-9f4f-5225661aaa56-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,23148870,13950,68536,1659,379614,TRUE,FALSE,Portuguese,https://www.twitch.tv/BatalhaDaAldeia/about,
RelaxBeats,12,https://static-cdn.jtvnw.net/jtv_user_pictures/relaxbeats-profile_image-76acee755ecb616f-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,23050215,127245,280,181,234241,TRUE,FALSE,English,https://www.twitch.tv/RelaxBeats/about,
JokerTheAnarchist,13,https://static-cdn.jtvnw.net/jtv_user_pictures/9a579259-c852-435e-b9dc-634471de64bd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,22803615,11940,13023,1910,15165,TRUE,FALSE,English,https://www.twitch.tv/JokerTheAnarchist/about,
mcd00dle,14,https://static-cdn.jtvnw.net/jtv_user_pictures/be86f81b-5547-4c3c-be32-2e8384fad9eb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,22468665,14895,9628,1508,36575,TRUE,FALSE,English,https://www.twitch.tv/mcd00dle/about,
RollingLoud,15,https://static-cdn.jtvnw.net/jtv_user_pictures/ee98ee9d-6599-4e60-bc53-be79f4e2a179-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,21399015,1905,31169,11233,238332,TRUE,FALSE,English,https://www.twitch.tv/RollingLoud/about,
Jessu,16,https://static-cdn.jtvnw.net/jtv_user_pictures/04cfc67f-4535-4088-ab39-a25d8f88fbfa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,18664020,9255,4941,2017,137171,TRUE,FALSE,English,https://www.twitch.tv/Jessu/about,
RollingStone,17,https://static-cdn.jtvnw.net/jtv_user_pictures/5abe81fb-da5b-451e-ace8-601083fc3394-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,17817480,7680,21283,2320,34530,TRUE,FALSE,English,https://www.twitch.tv/RollingStone/about,
Insomniac,18,https://static-cdn.jtvnw.net/jtv_user_pictures/b0beaf3f-5ba9-4eff-85d6-0c7c3c1747fa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,16656405,125985,412,132,500049,TRUE,FALSE,English,https://www.twitch.tv/Insomniac/about,
HermanLi,19,https://static-cdn.jtvnw.net/jtv_user_pictures/29429ba5-354f-458f-a824-61704832f50e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,16231215,9750,8721,1665,233058,TRUE,FALSE,English,https://www.twitch.tv/HermanLi/about,
dwpresents,20,https://static-cdn.jtvnw.net/jtv_user_pictures/bb1906e4-6ffe-4535-b297-216ece9d564f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,16229400,5685,22077,2855,38788,TRUE,TRUE,English,https://www.twitch.tv/dwpresents/about,
antianrose,21,https://static-cdn.jtvnw.net/jtv_user_pictures/fdca545b-dc12-415c-9c13-8b4fe9a2a688-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,14291550,8445,3839,1692,15977,TRUE,FALSE,Spanish,https://www.twitch.tv/antianrose/about,
musiciscode,22,https://static-cdn.jtvnw.net/jtv_user_pictures/1b69d9c2-1a50-4f27-8e3c-6ac1b6f320a0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,13956075,10845,8808,1287,14389,FALSE,FALSE,English,https://www.twitch.tv/musiciscode/about,
pykamusic,23,https://static-cdn.jtvnw.net/jtv_user_pictures/9e732e5c-e6b1-4aed-9e15-79767732e88e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,12556545,8475,3620,1482,82602,TRUE,FALSE,English,https://www.twitch.tv/pykamusic/about,
DJMissShelton,24,https://static-cdn.jtvnw.net/jtv_user_pictures/243170f8-91e2-46cc-9582-85308ac78645-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,12392430,17850,3159,694,54682,TRUE,FALSE,English,https://www.twitch.tv/DJMissShelton/about,
VenusWorld,25,https://static-cdn.jtvnw.net/jtv_user_pictures/d2365c94-7ff1-4c8b-a965-7cfb146f362b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,12134475,6270,13617,1935,58606,TRUE,FALSE,English,https://www.twitch.tv/VenusWorld/about,
TPAIN,26,https://static-cdn.jtvnw.net/jtv_user_pictures/fdd726f0-5e06-4211-ab5c-abf1faedece9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,12028830,7095,8358,1695,811287,TRUE,TRUE,English,https://www.twitch.tv/TPAIN/about,
lostlands,27,https://static-cdn.jtvnw.net/jtv_user_pictures/494fedab-4396-48f4-8157-cde5d0cde340-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,11989095,2700,8192,4440,108894,FALSE,FALSE,English,https://www.twitch.tv/lostlands/about,
hakumai,28,https://static-cdn.jtvnw.net/jtv_user_pictures/ed14b18d-bc3b-4c99-ad04-bafa0c917dfc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,11746830,5940,8081,1978,134457,TRUE,FALSE,English,https://www.twitch.tv/hakumai/about,
ortoPilot,29,https://static-cdn.jtvnw.net/jtv_user_pictures/39869f00-c126-4137-9d3b-aabede6bdfc3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,11652285,9660,4878,1206,297284,TRUE,FALSE,English,https://www.twitch.tv/ortoPilot/about,
astravert,30,https://static-cdn.jtvnw.net/jtv_user_pictures/3093ec06-c10d-47a5-9c0b-7eb039337730-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,11404530,13215,9122,863,13021,FALSE,FALSE,English,https://www.twitch.tv/astravert/about,
ChillhopMusic,31,https://static-cdn.jtvnw.net/jtv_user_pictures/53e95270-a955-4505-a720-600886d693d6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,11322540,127635,518,89,86650,TRUE,FALSE,English,https://www.twitch.tv/ChillhopMusic/about,
SixtySevenRadio,32,https://static-cdn.jtvnw.net/jtv_user_pictures/c6efac2f-6b2d-4a4d-845d-363f6b1c9251-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,11253000,117255,202,96,1894,FALSE,FALSE,English,https://www.twitch.tv/SixtySevenRadio/about,
tominboston,33,https://static-cdn.jtvnw.net/jtv_user_pictures/70b5660b-fc80-429d-895a-03942c10d8c1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,11107425,5655,13724,1964,5684,FALSE,FALSE,English,https://www.twitch.tv/tominboston/about,
DirkNeuenfels,34,https://static-cdn.jtvnw.net/jtv_user_pictures/d5845c87-84f4-48e3-8443-62169568968a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,10985265,16395,1846,670,24223,TRUE,TRUE,German,https://www.twitch.tv/DirkNeuenfels/about,
LeonBratt,35,https://static-cdn.jtvnw.net/jtv_user_pictures/f84a230f-9700-4027-a032-84965ab33ba7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,10719390,8505,7171,1260,47288,TRUE,FALSE,English,https://www.twitch.tv/LeonBratt/about,
HotBeatsTV,36,https://static-cdn.jtvnw.net/jtv_user_pictures/8d369282-ba4e-4f60-b9d3-fbcab2cd83ea-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,10297005,127455,200,81,56315,FALSE,FALSE,English,https://www.twitch.tv/HotBeatsTV/about,
theneedledrop,37,https://static-cdn.jtvnw.net/jtv_user_pictures/91b9b73e-b654-4cad-bc95-c7d42d59c6a3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,10296990,3750,17935,2746,295565,TRUE,FALSE,English,https://www.twitch.tv/theneedledrop/about,
Ailenax,38,https://static-cdn.jtvnw.net/jtv_user_pictures/9e6b33e6-ab61-4199-958c-06f17cf2857c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,10106460,12135,1968,833,31677,TRUE,TRUE,German,https://www.twitch.tv/Ailenax/about,
