,name,subs,start_date
2,Sintica,9852,"Sep 1, 2012"
3,kubomusic,5,"Dec 16, 2020"
6,yejuniverse,1039,"Oct 26, 2020"
8,Colaway,1650,"Dec 27, 2017"
9,Monstercat,40,"Jan 14, 2012"
10,BatalhaDaAldeia,32,"Sep 24, 2018"
11,RelaxBeats,4,"Apr 18, 2017"
12,JokerTheAnarchist,215,"Jun 18, 2017"
13,mcd00dle,281,"Feb 20, 2019"
14,RollingLoud,800,"Jul 24, 2018"
15,Jessu,1044,"Jan 11, 2019"
18,HermanLi,436,"Jul 15, 2017"
20,antianrose,59,"Apr 2, 2019"
21,musiciscode,434,"Oct 18, 2017"
22,pykamusic,67,"May 18, 2019"
23,DJMissShelton,2980,"Mar 26, 2020"
24,VenusWorld,2200,"Mar 28, 2018"
25,TPAIN,1050,"Feb 26, 2016"
27,hakumai,2600,"Jan 13, 2016"
28,ortoPilot,4400,"Oct 21, 2009"
29,astravert,617,"Nov 4, 2016"
30,ChillhopMusic,175,"Jan 19, 2016"
35,HotBeatsTV,65,"Oct 21, 2018"
37,Ailenax,1216,"Aug 21, 2013"
38,CaptainJen_E,270,"Jun 30, 2018"
41,YoDa,479,"Aug 3, 2013"
42,c9judite,130,"Oct 12, 2014"
44,withDoc,74,"Mar 29, 2020"
45,kennybeats,1127,"Dec 11, 2019"
47,ZeratoR,13998,"Mar 25, 2013"
48,TheJebusCorner,65,"Jun 21, 2012"
49,SeolAhh,132,"Jul 26, 2020"
50,knxwledge,703,"May 22, 2017"
51,JoPlaysViolin,2000,"Nov 5, 2018"
52,pealeaf,331,"Jan 22, 2018"
54,PapiGaviTV,712,"Dec 18, 2014"
55,sunshineliveradio,26,"Apr 22, 2020"
58,willfox,172,"Dec 31, 2012"
59,ASOT,1000,"Oct 9, 2018"
60,itsTanuki,335,"May 11, 2021"
62,GlostikWilly,1241,"May 1, 2016"
63,SarahCoponat,600,"Feb 17, 2020"
64,Grym,556,"Oct 1, 2018"
65,spell316,17,"Apr 21, 2020"
66,AllThatRemains,330,"Mar 26, 2021"
67,supershigi,4000,"Jul 25, 2012"
69,AnnieGreen,250,"Jul 4, 2018"
71,ThomTree,3200,"Jan 1, 2015"
72,Carola,3617,"Dec 24, 2015"
73,Elesky,522,"Aug 1, 2018"
74,Quis_der_Barde,1800,"Feb 17, 2018"
75,BellsSpace,407,"Dec 12, 2020"
77,TechnoLiebenundLebenTV,334,"May 28, 2016"
78,MOGRA,22,"Jun 11, 2016"
79,lilcake,40,"Jun 18, 2016"
80,matthewkheafy,931,"Mar 27, 2017"
81,ThatViolinChick,210,"Jan 29, 2017"
82,OWN3D_Music,1,"Sep 10, 2020"
85,Halocene,4200,"May 13, 2015"
87,ThonggDeLonge,308,"Oct 15, 2020"
88,SECRET_GARDEN_DJ_REMINISE,24,"Apr 21, 2018"
89,The8BitDrummer,2852,"May 28, 2014"
90,alleykaydj,1046,"Oct 9, 2013"
92,SympulsMusic,583,"Jan 22, 2016"
93,Cheeseburger97,92,"Feb 10, 2014"
94,calvinthomasmusic,217,"May 29, 2018"
96,mechachoi,10,"Aug 31, 2015"
97,a_couple_streams,4200,"Feb 26, 2015"
100,Sardoche,1003,"Oct 28, 2013"
101,annelle,2,"Jan 15, 2017"
102,suuN,377,"Jun 14, 2014"
105,JonathanOng,398,"May 13, 2017"
106,veryhandsomebilly,284,"Jun 11, 2019"
108,AngelVivaldi,211,"Dec 28, 2018"
110,Daisy_Music,250,"Jan 8, 2018"
112,taucher66,122,"May 8, 2020"
113,MikeLeonShreds,614,"Apr 12, 2020"
114,DEEJAYFAMILY,192,"Jun 14, 2020"
115,ThessFischer,792,"Mar 20, 2020"
116,Maya,1908,"Jul 2, 2018"
117,montebooker,558,"Jan 10, 2016"
118,NikNocturnal,182,"Aug 11, 2017"
119,Lost_In_House,452,"Jun 24, 2014"
121,julienneby,4600,"Jun 4, 2019"
123,RestrictedEntertainment,916,"Apr 4, 2020"
124,gabrielanddresden,833,"Mar 19, 2020"
128,thisEguy,190,"Jul 16, 2014"
129,Chainbrain,942,"Dec 16, 2012"
130,DJQueTheMixologist,456,"Jun 26, 2020"
131,MaxWillowMusic,52,"Jun 18, 2020"
132,Thinkerbella,272,"Aug 17, 2020"
135,djflippp,296,"May 21, 2018"
136,RiskyBiscuitBand,506,"Apr 12, 2020"
139,philsmythmusic,47,"Jul 14, 2020"
140,Whistleface,1000,"Feb 4, 2016"
141,DJMikeMorino,1154,"May 20, 2019"
142,sabyspark,228,"Nov 23, 2019"
143,spacemanlive,0,"Sep 14, 2018"
144,daniel_dekay,457,"Apr 11, 2020"
148,CarlBrindle,65,"Jan 10, 2019"
149,djsebimusic,608,"Feb 26, 2016"
150,datsunnmusic,71,"Aug 27, 2018"
151,BeesustheDJ,252,"Apr 8, 2020"
154,sunfyretv,10,"May 13, 2016"
155,lara6683,5400,"Jan 19, 2015"
157,TurtlesAndChill,102,"Nov 22, 2017"
158,livharris,3400,"Jun 8, 2018"
159,Halbsteiv,1135,"Jun 14, 2018"
161,EtcKid,41,"Aug 15, 2016"
162,MaryJoLilac,31,"Jun 25, 2020"
164,LionaStone,180,"Nov 13, 2019"
165,SabrinaSoloShow,350,"Dec 21, 2019"
166,dj_urban_o,35,"Mar 16, 2020"
167,HANAWINS,3400,"Dec 10, 2015"
168,SuperStarO,431,"Aug 21, 2014"
169,upstv,1,"Dec 14, 2019"
172,JustJoeSyracuse,1600,"Oct 9, 2019"
174,MiaMetzMusic,780,"Jun 27, 2020"
175,ShintaLovesHouseMusic,818,"Apr 13, 2020"
178,amorosoviolin,29,"Jun 12, 2021"
179,LordAethelstan,1235,"Oct 28, 2020"
180,DJQM,80,"Aug 11, 2015"
181,DJMiyuki,3400,"Jan 6, 2015"
183,BelenJuradoMusic,726,"May 1, 2020"
184,PsycologicRJ,0,"May 2, 2020"
185,heybensena,901,"Dec 14, 2020"
186,StringPlayerGamer,433,"Oct 5, 2014"
189,just_lina,390,"Jan 27, 2016"
191,deadmau5,300,"Sep 13, 2014"
193,koshkamoroshka,43,"Jan 9, 2016"
194,lewloh,22,"Apr 9, 2020"
195,EndeBrothers,88,"Nov 13, 2020"
196,LizzVega,379,"Dec 12, 2014"
197,CaoinFitzMusic,65,"Mar 2, 2013"
198,voiceunmuted,182,"Aug 28, 2019"
200,pondelinp,157,"Jun 2, 2012"
202,claremeans,65,"Mar 7, 2016"
204,djcubalibre,0,"Apr 26, 2020"
205,CA_in_LA,3800,"Jul 16, 2018"
206,shykuroboo,514,"Aug 29, 2018"
207,FantasticPlastics,2000,"Feb 19, 2019"
209,vlouue,701,"Apr 2, 2018"
212,InsertScaryNameHere,2000,"Mar 15, 2020"
214,KevinCrownMusic,499,"May 4, 2020"
215,nickmira_,20,"Oct 7, 2018"
216,TeamShellinz,160,"Apr 7, 2020"
222,beatrixguitar,0,"Dec 2, 2020"
224,JOVIAN,368,"Jun 27, 2012"
225,DJEpik,522,"Mar 20, 2020"
